EG(+)		EG(-)		EG(+)& St(+)		EG(+)& St(-)		EG(-)& St(+)		EG(-)& St(-)	
18	CR	CDS	9306	9893	+	+	724947	+			
20	CR	CDS	9928	10494	-	-	726135	+			
22	CR	CDS	10643	11356	-	-	726997	+			
24	CR	CDS	11382	11786	-	-	727427	+			
26	CR	CDS	12163	14079	+	+	727804	+			
28	CR	CDS	14168	15298	+	-	729809	+			
30	CR	CDS	15445	16557	+	-	731086	+			
32	CR	CDS	16751	16960	-	-	732601	+			
34	CR	CDS	16751	16903	-	-	732544	+			
36	CR	ncRNA	16952	17006	+	-	732593	+			
38	CR	CDS	17489	18655	+	-	733130	+			
40	CR	CDS	18715	19620	+	-	734356	+			
42	CR	CDS	19811	20314	-	-	735955	+			
44	CR	CDS	20233	20508	-	+	736149	+			
46	CR	CDS	20815	21078	-	+	736719	+			
48	CR	CDS	21181	21399	+	-	736822	+			
50	CR	CDS	21407	22348	+	+	737048	+			
52	CR	CDS	22391	25207	+	+	738032	+			
54	CR	CDS	25207	25701	+	+	740848	+			
56	CR	CDS	25826	26275	+	-	741467	+			
58	CR	CDS	26277	27227	+	+	741918	+			
60	CR	CDS	27293	28207	+	-	742934	+			
62	CR	CDS	28374	29195	+	+	744015	+			
64	CR	CDS	29651	30799	+	-	745292	+			
66	CR	CDS	30817	34038	+	-	746458	+			
68	CR	CDS	34300	34695	+	-	749941	+			
70	CR	CDS	34781	35371	-	-	751012	+			
72	CR	CDS	35377	36162	-	-	751803	+			
74	CR	CDS	36271	37824	-	-	753465	+			
76	CR	CDS	37898	39115	-	-	754756	+			
78	CR	CDS	39244	40386	-	-	756027	+			
80	CR	CDS	40417	41931	-	-	757572	+			
82	CR	CDS	42403	43173	+	-	758044	+			
84	CR	CDS	43188	44129	+	-	758829	+			
86	CR	CDS	44180	45466	+	-	759821	+			
88	CR	CDS	45463	45750	+	-	761104	+			
90	CR	CDS	45807	47138	+	-	761448	+			
92	CR	CDS	47246	47776	+	-	762887	+			
94	CR	CDS	47769	49631	+	-	763410	+			
96	CR	CDS	49823	50302	+	+	765464	+			
98	CR	CDS	50380	51222	-	-	766863	+			
100	CR	CDS	51229	51606	-	-	767247	+			
102	CR	CDS	51609	52430	-	-	768071	+			
104	CR	CDS	52427	53416	-	-	769057	+			
106	CR	CDS	53416	54702	-	-	770343	+			
108	CR	CDS	54755	57109	-	+	772750	+			
110	CR	CDS	57364	58179	+	-	773005	+			
112	CR	CDS	58474	59269	+	-	774115	+			
114	CR	CDS	59687	60346	-	+	775987	+			
116	CR	CDS	60358	63264	-	-	778905	+			
118	CR	CDS	63429	65780	-	-	781421	+			
120	CR	CDS	65855	66550	-	-	782191	+			
122	CR	CDS	66835	68337	-	-	783978	+			
124	CR	CDS	68348	70048	-	-	785689	+			
126	CR	CDS	70387	71265	+	-	786028	+			
128	CR	CDS	71351	72115	+	-	786992	+			
130	CR	CDS	72229	72927	-	-	788568	+			
132	CR	CDS	72911	74521	-	-	790162	+			
134	CR	CDS	74497	75480	-	-	791121	+			
136	CR	CDS	75644	77299	-	-	792940	+			
138	CR	ncRNA	77367	77593	+	-	793008	+			
140	CR	CDS	77388	77519	+	-	793029	+			
142	CR	CDS	77621	78799	+	-	793262	+			
144	CR	CDS	78848	79453	-	-	795094	+			
146	CR	CDS	79464	80864	-	-	796505	+			
148	CR	CDS	80867	81958	-	-	797599	+			
150	CR	CDS	81958	83529	-	-	799170	+			
152	CR	CDS	83622	83708	-	-	799349	+			
154	CR	CDS	84368	85312	+	-	800009	+			
156	CR	CDS	85630	87354	+	-	801271	+			
158	CR	CDS	87357	87848	+	-	802998	+			
160	CR	CDS	88028	89032	+	-	803669	+			
162	CR	CDS	89634	90092	+	-	805275	+			
164	CR	CDS	90094	91035	+	+	805735	+			
166	CR	CDS	91032	91397	+	+	806673	+			
168	CR	CDS	91413	93179	+	+	807054	+			
170	CR	CDS	93166	94653	+	+	808807	+			
172	CR	CDS	94650	96008	+	+	810291	+			
174	CR	CDS	96002	97084	+	+	811643	+			
176	CR	CDS	97087	98403	+	+	812728	+			
178	CR	CDS	98403	99647	+	+	814044	+			
180	CR	CDS	99644	100711	+	+	815285	+			
182	CR	CDS	100765	102240	+	+	816406	+			
184	CR	CDS	102233	103153	+	+	817874	+			
186	CR	CDS	103155	103985	+	+	818796	+			
188	CR	CDS	103982	105244	+	+	819623	+			
190	CR	CDS	105305	106456	+	+	820946	+			
192	CR	CDS	106557	107474	+	+	822198	+			
194	CR	CDS	107705	108217	+	+	823346	+			
196	CR	CDS	108279	110984	+	+	823920	+			
198	CR	CDS	111044	111433	+	-	826685	+			
200	CR	CDS	111649	111846	-	-	827487	+			
202	CR	CDS	111856	112599	-	-	828240	+			
204	CR	CDS	112599	113219	-	+	828860	+			
206	CR	CDS	113444	114487	+	-	829085	+			
208	CR	CDS	114522	115724	-	-	831365	+			
210	CR	CDS	115714	117099	-	-	832740	+			
212	CR	CDS	117109	117549	-	-	833190	+			
214	CR	CDS	117752	118645	-	-	834286	+			
216	CR	CDS	118733	119284	+	-	834374	+			
218	CR	CDS	119281	120135	+	-	834922	+			
220	CR	CDS	120178	121551	-	-	837192	+			
222	CR	CDS	122092	122856	+	-	837733	+			
224	CR	CDS	123017	125680	+	-	838658	+			
226	CR	CDS	125695	127587	+	+	841336	+			
228	CR	CDS	127912	129336	+	+	843553	+			
230	CR	CDS	129407	131260	-	-	846901	+			
232	CR	CDS	131615	134212	+	-	847256	+			
234	CR	CDS	134388	134750	+	-	850029	+			
236	CR	CDS	134788	135582	-	-	851223	+			
238	CR	CDS	135598	136464	-	-	852105	+			
240	CR	CDS	136570	136917	-	+	852558	+			
242	CR	CDS	137083	138633	+	-	852724	+			
244	CR	CDS	138835	141225	-	-	856866	+			
246	CR	CDS	141431	141967	+	-	857072	+			
248	CR	CDS	142008	142670	-	+	858311	+			
250	CR	CDS	142779	143705	+	-	858420	+			
252	CR	CDS	143702	144472	+	-	859343	+			
254	CR	CDS	144577	145017	+	+	860218	+			
256	CR	CDS	145081	146310	+	-	860722	+			
258	CR	CDS	146314	146694	-	-	862335	+			
260	CR	CDS	146968	147870	+	-	862609	+			
262	CR	CDS	147944	148795	-	-	864436	+			
264	CR	CDS	148807	149601	-	-	865242	+			
266	CR	CDS	149715	150953	-	-	866594	+			
268	CR	CDS	151003	151599	-	-	867240	+			
270	CR	CDS	151626	152231	-	-	867872	+			
272	CR	CDS	152243	152812	-	-	868453	+			
274	CR	CDS	152829	155426	-	-	871067	+			
276	CR	CDS	155461	156201	-	-	871842	+			
278	CR	CDS	156299	156883	-	-	872524	+			
280	CR	CDS	157253	157732	-	+	873373	+			
282	CR	CDS	157729	159126	-	-	874767	+			
284	CR	CDS	159186	160112	-	-	875753	+			
286	CR	CDS	160149	160604	-	-	876245	+			
288	CR	CDS	160782	161486	-	-	877127	+			
290	CR	CDS	161501	162031	-	-	877672	+			
292	CR	CDS	162105	164534	+	-	877746	+			
294	CR	CDS	164730	167264	+	-	880371	+			
296	CR	CDS	167484	169727	+	-	883125	+			
298	CR	CDS	169778	170575	+	-	885419	+			
300	CR	CDS	170575	171465	+	-	886216	+			
302	CR	CDS	171462	173444	+	-	887103	+			
304	CR	CDS	173602	174882	-	+	890523	+			
306	CR	CDS	175107	176528	+	-	890748	+			
308	CR	CDS	176610	176954	+	+	892251	+			
310	CR	CDS	177001	177624	-	-	893265	+			
312	CR	CDS	177662	178462	-	-	894103	+			
314	CR	CDS	178455	179153	-	-	894794	+			
316	CR	CDS	179237	180754	+	-	894878	+			
318	CR	CDS	180884	182308	+	-	896525	+			
320	CR	CDS	182463	183620	+	-	898104	+			
322	CR	CDS	183709	184095	-	-	899736	+			
324	CR	CDS	184257	185069	-	-	900710	+			
326	CR	CDS	185123	185947	-	+	901588	+			
328	CR	CDS	185978	188650	-	+	904291	+			
330	CR	CDS	188712	189506	-	+	905147	+			
332	CR	ncRNA	189712	189847	+	-	905353	+			
334	CR	CDS	189874	190599	+	+	905515	+			
336	CR	CDS	190857	191708	+	+	906498	+			
338	CR	CDS	191855	192580	+	+	907496	+			
340	CR	CDS	192872	193429	+	+	908513	+			
342	CR	CDS	193521	194717	+	+	909162	+			
344	CR	CDS	194903	195664	+	+	910544	+			
346	CR	CDS	195677	196534	+	+	911318	+			
348	CR	CDS	196546	197898	+	+	912187	+			
350	CR	CDS	197928	200360	+	+	913569	+			
352	CR	CDS	200482	200967	+	-	916123	+			
354	CR	CDS	200971	201996	+	+	916612	+			
356	CR	CDS	202101	202556	+	+	917742	+			
358	CR	CDS	202560	203348	+	+	918201	+			
360	CR	CDS	203348	204496	+	+	918989	+			
362	CR	CDS	204493	205089	+	+	920134	+			
364	CR	CDS	205126	208608	+	+	920767	+			
366	CR	CDS	208621	209580	+	+	924262	+			
368	CR	CDS	209679	211820	+	-	925320	+			
370	CR	CDS	211877	212266	+	-	927518	+			
372	CR	CDS	212331	213629	+	+	927972	+			
374	CR	CDS	213678	213932	-	-	929573	+			
376	CR	CDS	213925	214125	-	-	929766	+			
378	CR	CDS	214291	214836	+	-	929932	+			
380	CR	CDS	214833	215255	+	-	930474	+			
382	CR	CDS	215269	215979	+	-	930910	+			
384	CR	CDS	216179	217003	-	-	932644	+			
386	CR	CDS	217057	218775	-	+	934416	+			
388	CR	CDS	218887	219594	-	-	935235	+			
390	CR	CDS	219591	219995	-	-	935636	+			
392	CR	CDS	220113	220928	-	-	936569	+			
394	CR	CDS	220968	221621	-	-	937262	+			
396	CR	CDS	221614	222645	-	-	938286	+			
398	CR	CDS	222833	223408	+	-	938474	+			
400	CR	rRNA	223771	225312	+	-	939412	+			
402	CR	tRNA	225381	225457	+	-	941022	+			
404	CR	tRNA	225500	225575	+	-	941141	+			
406	CR	rRNA	225759	228662	+	-	941400	+			
408	CR	rRNA	228756	228875	+	-	944397	+			
410	CR	tRNA	228928	229004	+	-	944569	+			
412	CR	CDS	229167	229970	+	-	944808	+			
414	CR	CDS	229967	230881	-	-	946522	+			
416	CR	CDS	231122	231922	+	-	946763	+			
418	CR	CDS	231926	232549	+	+	947567	+			
420	CR	CDS	232597	233955	-	-	949596	+			
422	CR	CDS	234027	234782	-	-	950423	+			
424	CR	CDS	234816	235538	+	-	950457	+			
426	CR	CDS	235535	236002	-	+	951643	+			
428	CR	CDS	236067	236798	+	+	951708	+			
430	CR	tRNA	236931	237007	+	-	952572	+			
432	CR	CDS	237335	238120	+	-	952976	+			
434	CR	CDS	238257	238736	-	-	954377	+			
436	CR	CDS	238746	239102	-	-	954743	+			
438	CR	CDS	239106	239378	+	-	954747	+			
440	CR	CDS	239419	240189	-	-	955830	+			
442	CR	CDS	240343	240816	+	-	955984	+			
444	CR	CDS	240859	243303	-	-	958944	+			
446	CR	CDS	243543	244121	+	-	959184	+			
448	CR	CDS	244327	245094	+	-	959968	+			
450	CR	CDS	245065	245805	-	-	961446	+			
452	CR	CDS	245961	246239	-	-	961880	+			
454	CR	CDS	246242	246502	-	-	962143	+			
456	CR	CDS	246712	247461	+	-	962353	+			
458	CR	CDS	247637	248134	+	-	963278	+			
460	CR	CDS	248358	250070	-	-	965711	+			
462	CR	CDS	250072	250827	+	-	965713	+			
464	CR	CDS	250898	251953	+	-	966539	+			
466	CR	CDS	252005	252298	+	-	967646	+			
468	CR	CDS	252301	252699	+	-	967942	+			
470	CR	CDS	252709	253161	+	-	968350	+			
472	CR	CDS	253479	253685	+	-	969120	+			
474	CR	CDS	253702	254202	+	-	969343	+			
476	CR	CDS	254259	255716	-	-	971357	+			
478	CR	CDS	255977	256435	+	-	971618	+			
480	CR	CDS	256527	257771	+	-	972168	+			
482	CR	CDS	257829	258230	+	-	973470	+			
484	CR	CDS	258269	259324	-	-	974965	+			
486	CR	CDS	259612	260715	+	-	975253	+			
488	CR	CDS	260727	261980	+	-	976368	+			
490	CR	tRNA	262095	262170	+	-	977736	+			
492	CR	CDS	262374	262436	-	-	978077	+			
494	CR	CDS	262552	262893	-	+	978534	+			
496	CR	CDS	262914	263231	-	-	978872	+			
498	CR	CDS	263250	263471	-	-	979112	+			
500	CR	CDS	263480	263956	-	-	979597	+			
502	CR	CDS	263972	264430	-	-	980071	+			
504	CR	CDS	264528	264767	-	-	980408	+			
506	CR	CDS	264844	265311	-	-	980952	+			
508	CR	CDS	265334	265777	-	-	981418	+			
510	CR	CDS	265777	265998	-	-	981639	+			
512	CR	CDS	266000	266191	-	-	981832	+			
514	CR	CDS	266408	267229	-	-	982870	+			
516	CR	CDS	267321	268184	-	-	983825	+			
518	CR	CDS	268513	269406	-	-	985047	+			
520	CR	CDS	269502	271413	+	-	985143	+			
522	CR	CDS	269827	270978	+	-	985468	+			
524	CR	ncRNA	271804	271878	+	-	987445	+			
526	CR	CDS	272071	273178	+	-	987712	+			
528	CR	CDS	273325	274341	-	-	989982	+			
530	CR	CDS	274549	275952	+	-	990190	+			
532	CR	CDS	275939	276871	+	-	991580	+			
534	CR	CDS	276980	278026	-	-	993667	+			
536	CR	CDS	278038	278385	-	-	994026	+			
538	CR	CDS	278402	278905	-	-	994546	+			
540	CR	CDS	278824	279099	-	+	994740	+			
542	CR	CDS	279338	279586	-	-	995227	+			
544	CR	CDS	279651	279959	-	-	995600	+			
546	CR	CDS	280053	281207	-	-	996848	+			
548	CR	CDS	281481	282410	+	-	997122	+			
550	CR	CDS	282425	284392	+	-	998066	+			
552	CR	CDS	284619	286001	+	+	1000260	+			
554	CR	CDS	286013	287623	+	+	1001654	+			
556	CR	CDS	287628	288386	-	-	1004027	+			
558	CR	CDS	288525	289529	-	-	1005170	+			
560	CR	CDS	289653	289857	+	-	1005294	+			
562	CR	CDS	289873	290376	-	-	1006017	+			
564	CR	CDS	290295	290570	-	-	1006211	+			
566	CR	CDS	290628	291455	+	-	1006269	+			
568	CR	CDS	291546	292172	-	-	1007813	+			
570	CR	CDS	292444	293142	-	-	1008783	+			
572	CR	CDS	293169	294023	-	-	1009664	+			
574	CR	CDS	294363	294803	-	-	1010444	+			
576	CR	CDS	294920	296320	-	-	1011961	+			
578	CR	tRNA	296430	296478	+	-	1012071	+			
580	CR	CDS	296605	296943	-	-	1012584	+			
582	CR	CDS	296938	297015	-	-	1012656	+			
584	CR	CDS	296994	297950	-	-	1013591	+			
586	CR	CDS	297960	300158	-	-	1015799	+			
588	CR	CDS	300155	301111	-	+	1016752	+			
590	CR	CDS	301108	301797	-	-	1017438	+			
592	CR	CDS	302215	302829	+	-	1017856	+			
594	CR	CDS	303077	303406	-	-	1019047	+			
596	CR	CDS	303719	304429	-	+	1020070	+			
598	CR	CDS	304398	306041	-	-	1021682	+			
600	CR	CDS	306031	308556	-	-	1024197	+			
602	CR	CDS	308582	309250	-	-	1024891	+			
604	CR	CDS	309308	309895	-	-	1025536	+			
606	CR	CDS	309970	310560	-	-	1026201	+			
608	CR	CDS	311336	311563	+	-	1026977	+			
610	CR	CDS	311598	311738	-	-	1027379	+			
612	CR	CDS	311738	312001	-	-	1027642	+			
614	CR	CDS	312365	312466	-	-	1028107	+			
616	CR	CDS	312940	313029	-	-	1028670	+			
618	CR	CDS	313581	314452	+	-	1029222	+			
620	CR	CDS	314515	314814	+	+	1030156	+			
622	CR	CDS	314811	315677	+	-	1030452	+			
624	CR	CDS	315710	316393	-	-	1032034	+			
626	CR	CDS	316663	316791	+	-	1032304	+			
628	CR	CDS	316950	317543	-	-	1033184	+			
630	CR	CDS	317555	317791	-	-	1033432	+			
632	CR	CDS	317900	319225	-	-	1034866	+			
634	CR	CDS	319451	320305	+	-	1035092	+			
636	CR	CDS	320832	321551	+	-	1036473	+			
638	CR	CDS	321562	322989	+	-	1037203	+			
640	CR	CDS	322982	323677	+	-	1038623	+			
642	CR	CDS	323920	324588	-	-	1040229	+			
644	CR	CDS	324801	326471	-	-	1042112	+			
646	CR	CDS	326485	327957	-	-	1043598	+			
648	CR	CDS	327971	328558	-	-	1044199	+			
650	CR	CDS	328687	330720	+	-	1044328	+			
652	CR	CDS	331595	332683	+	-	1047236	+			
654	CR	CDS	332725	333657	-	-	1049298	+			
656	CR	CDS	333749	334246	-	-	1049887	+			
658	CR	CDS	334504	335109	+	-	1050145	+			
660	CR	CDS	335149	336012	+	-	1050790	+			
662	CR	CDS	336002	337549	+	+	1051643	+			
664	CR	CDS	337549	338967	+	-	1053190	+			
666	CR	CDS	339389	340339	+	-	1055030	+			
668	CR	CDS	340349	341731	+	-	1055990	+			
670	CR	CDS	342108	343157	+	-	1057749	+			
672	CR	CDS	343400	344215	+	-	1059041	+			
674	CR	CDS	344628	344873	+	-	1060269	+			
676	CR	CDS	344890	345561	-	-	1061202	+			
678	CR	CDS	345708	345983	+	-	1061349	+			
680	CR	CDS	346081	347667	-	-	1063308	+			
682	CR	CDS	347906	348796	+	-	1063547	+			
684	CR	CDS	349236	350405	+	-	1064877	+			
686	CR	CDS	350439	351890	+	-	1066080	+			
688	CR	CDS	351930	353816	+	-	1067571	+			
690	CR	CDS	354146	355405	+	-	1069787	+			
692	CR	CDS	355395	356678	+	-	1071036	+			
694	CR	CDS	357015	357914	-	-	1073555	+			
696	CR	CDS	358023	358682	+	-	1073664	+			
698	CR	CDS	358713	359183	+	+	1074354	+			
700	CR	CDS	359216	360370	+	-	1074857	+			
702	CR	CDS	360473	361084	-	-	1076725	+			
704	CR	CDS	361150	362403	-	-	1078044	+			
706	CR	CDS	362455	365529	-	-	1081170	+			
708	CR	CDS	365652	366734	-	-	1082375	+			
710	CR	CDS	366811	367644	-	-	1083285	+			
712	CR	CDS	367835	369499	+	-	1083476	+			
714	CR	CDS	369501	370445	+	-	1085142	+			
716	CR	CDS	370448	371329	+	-	1086089	+			
718	CR	CDS	371339	372148	+	-	1086980	+			
720	CR	CDS	372145	373095	+	-	1087786	+			
722	CR	CDS	373092	374105	+	-	1088733	+			
724	CR	CDS	374683	375894	+	-	1090324	+			
726	CR	CDS	375996	376535	+	-	1091637	+			
728	CR	CDS	376759	377592	-	-	1093233	+			
730	CR	CDS	377686	378795	-	-	1094436	+			
732	CR	CDS	378830	379105	-	+	1094746	+			
734	CR	CDS	379293	380066	-	-	1095707	+			
736	CR	CDS	380068	382096	-	-	1097737	+			
738	CR	CDS	380575	380940	+	-	1096216	+			
740	CR	CDS	380898	381803	+	-	1096539	+			
742	CR	CDS	381963	383159	-	-	1098800	+			
744	CR	CDS	383283	383840	-	+	1099481	+			
746	CR	CDS	384456	385418	+	-	1100097	+			
748	CR	CDS	385431	386198	+	-	1101072	+			
750	CR	CDS	386195	387022	+	-	1101836	+			
752	CR	CDS	387019	387870	+	-	1102660	+			
754	CR	CDS	387977	388951	-	+	1104592	+			
756	CR	CDS	389475	393642	+	-	1105116	+			
758	CR	CDS	390963	391829	-	-	1107470	+			
760	CR	CDS	391826	392125	-	+	1107766	+			
762	CR	CDS	393730	394353	+	-	1109371	+			
764	CR	CDS	394354	395511	-	-	1111152	+			
766	CR	CDS	395863	397083	+	-	1111504	+			
768	CR	CDS	397096	398190	+	-	1112737	+			
770	CR	CDS	398249	398557	-	+	1114198	+			
772	CR	CDS	398817	399029	+	-	1114458	+			
774	CR	CDS	399053	400147	-	-	1115788	+			
776	CR	CDS	400610	400870	+	-	1116251	+			
778	CR	CDS	400971	402386	+	-	1116612	+			
780	CR	CDS	402505	402825	+	-	1118146	+			
782	CR	CDS	402927	404042	+	-	1118568	+			
784	CR	CDS	404059	404868	-	+	1120509	+			
786	CR	CDS	404988	405446	+	-	1120629	+			
788	CR	CDS	405629	406153	+	-	1121270	+			
790	CR	CDS	406203	406394	+	-	1121844	+			
792	CR	CDS	406652	407329	+	-	1122293	+			
794	CR	CDS	407401	407685	+	-	1123042	+			
796	CR	CDS	407893	408174	+	-	1123534	+			
798	CR	CDS	408332	409243	-	-	1124884	+			
800	CR	CDS	409368	410276	+	-	1125009	+			
802	CR	CDS	410521	411705	-	-	1127346	+			
804	CR	CDS	411831	414977	-	-	1130618	+			
806	CR	CDS	414974	416176	-	-	1131817	+			
808	CR	CDS	416366	417055	+	-	1132007	+			
810	CR	CDS	417113	418408	+	-	1132754	+			
812	CR	CDS	418815	420134	+	-	1134456	+			
814	CR	CDS	420210	421583	+	-	1135851	+			
816	CR	CDS	421739	423556	+	-	1137380	+			
818	CR	CDS	423561	424142	-	-	1139783	+			
820	CR	CDS	424235	425305	+	-	1139876	+			
822	CR	CDS	425361	426488	+	-	1141002	+			
824	CR	CDS	426511	426843	+	-	1142152	+			
826	CR	CDS	426871	428718	+	+	1142512	+			
828	CR	CDS	428729	429700	+	+	1144370	+			
830	CR	CDS	429829	430176	+	-	1145470	+			
832	CR	CDS	430353	431237	-	-	1146878	+			
834	CR	CDS	431536	432075	-	-	1147716	+			
836	CR	CDS	432226	432675	+	-	1147867	+			
838	CR	CDS	432679	433782	+	+	1148320	+			
840	CR	CDS	433871	434341	+	+	1149512	+			
842	CR	CDS	434361	434780	+	+	1150002	+			
844	CR	CDS	434858	435835	+	+	1150499	+			
846	CR	CDS	435813	436331	+	+	1151454	+			
848	CR	CDS	436385	437359	-	-	1153000	+			
850	CR	CDS	437539	439401	-	+	1155042	+			
852	CR	CDS	439426	440325	-	+	1155966	+			
854	CR	CDS	440325	440567	-	-	1156208	+			
856	CR	CDS	440773	442221	+	-	1156414	+			
858	CR	CDS	442275	442865	-	-	1158506	+			
860	CR	CDS	442828	443739	-	-	1159380	+			
862	CR	CDS	443907	444398	+	-	1159548	+			
864	CR	CDS	444526	445890	-	-	1161531	+			
866	CR	CDS	446039	446929	-	-	1162570	+			
868	CR	CDS	446941	447270	-	+	1162911	+			
870	CR	CDS	447270	447884	-	-	1163525	+			
872	CR	CDS	447874	449865	-	-	1165506	+			
874	CR	CDS	449887	450834	-	-	1166475	+			
876	CR	CDS	451294	452769	-	-	1168410	+			
878	CR	CDS	452813	453391	-	-	1169032	+			
880	CR	CDS	453696	454013	+	-	1169337	+			
882	CR	CDS	454357	455655	+	-	1169998	+			
884	CR	CDS	455901	456524	+	-	1171542	+			
886	CR	CDS	456650	457924	+	-	1172291	+			
888	CR	CDS	458112	460466	+	-	1173753	+			
890	CR	CDS	460675	460947	+	-	1176316	+			
892	CR	CDS	461139	463010	+	-	1176780	+			
894	CR	CDS	463161	463532	+	+	1178802	+			
896	CR	CDS	463626	464024	+	-	1179267	+			
898	CR	CDS	464076	464771	-	-	1180412	+			
900	CR	CDS	464836	466536	-	-	1182177	+			
902	CR	CDS	466636	467454	+	-	1182277	+			
904	CR	CDS	467607	468065	+	-	1183248	+			
906	CR	CDS	468095	469867	+	-	1183736	+			
908	CR	CDS	469860	471641	+	-	1185501	+			
910	CR	CDS	471822	472160	+	-	1187463	+			
912	CR	CDS	472190	473476	+	-	1187831	+			
914	CR	CDS	473525	474385	-	-	1190026	+			
916	CR	CDS	474603	475175	+	-	1190244	+			
918	CR	CDS	475206	475595	-	-	1191236	+			
920	CR	ncRNA	475672	475785	+	-	1191313	+			
922	CR	CDS	475896	476249	+	+	1191537	+			
924	CR	CDS	476291	477841	-	-	1193482	+			
926	CR	CDS	478005	478475	-	-	1194116	+			
928	CR	CDS	478591	479142	-	-	1194783	+			
930	CR	CDS	479314	479532	-	-	1195173	+			
932	CR	CDS	479558	479932	-	-	1195573	+			
934	CR	CDS	480478	483627	-	-	1199268	+			
936	CR	CDS	483650	484843	-	-	1200484	+			
938	CR	CDS	484985	485632	+	-	1200626	+			
940	CR	CDS	485760	489122	+	-	1201401	+			
942	CR	CDS	489334	489495	-	-	1205136	+			
944	CR	CDS	489509	490036	-	+	1205677	+			
946	CR	CDS	490106	490483	+	+	1205747	+			
948	CR	CDS	490636	491187	+	+	1206277	+			
950	CR	CDS	491316	493247	+	+	1206957	+			
952	CR	CDS	493300	493629	+	-	1208941	+			
954	CR	CDS	493629	494234	+	-	1209270	+			
956	CR	CDS	494344	496218	+	-	1209985	+			
958	CR	CDS	496399	497043	+	+	1212040	+			
960	CR	CDS	497279	498241	+	+	1212920	+			
962	CR	CDS	498238	499197	-	-	1214838	+			
964	CR	CDS	499349	500653	+	-	1214990	+			
966	CR	CDS	500786	502462	-	-	1218103	+			
968	CR	CDS	502700	503920	-	-	1219561	+			
970	CR	CDS	504138	505790	+	-	1219779	+			
972	CR	CDS	505827	506306	-	-	1221947	+			
974	CR	ncRNA	506428	506511	+	-	1222069	+			
976	CR	CDS	506510	507304	-	+	1222945	+			
978	CR	CDS	507442	507783	+	+	1223083	+			
980	CR	CDS	508099	510603	-	-	1226244	+			
982	CR	CDS	510865	511797	+	-	1226506	+			
984	CR	CDS	511800	513092	+	-	1227441	+			
986	CR	CDS	513217	513624	+	-	1228858	+			
988	CR	CDS	513625	514083	-	-	1229724	+			
990	CR	CDS	514080	514997	-	-	1230638	+			
992	CR	CDS	515143	515820	+	-	1230784	+			
994	CR	CDS	515807	516586	+	-	1231448	+			
996	CR	CDS	516649	517503	-	-	1233144	+			
998	CR	CDS	517564	518373	-	-	1234014	+			
1000	CR	CDS	518363	518989	-	-	1234630	+			
1002	CR	CDS	518957	519643	+	-	1234598	+			
1004	CR	CDS	519640	522054	+	-	1235281	+			
1006	CR	CDS	522485	526765	+	-	1238126	+			
1008	CR	CDS	526805	527173	+	+	1242446	+			
1010	CR	CDS	527176	527883	+	-	1242817	+			
1012	CR	CDS	527864	528354	+	-	1243505	+			
1014	CR	CDS	528724	528816	+	-	1244365	+			
1016	CR	CDS	528819	529240	-	-	1244881	+			
1018	CR	CDS	529356	530450	-	-	1246091	+			
