calcSP	promoter_id	startSite	promoter_strand	bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	
222694	ECK120009925	222714	reverse	397	ICR	PP	222646	222832	+	
3056551	ECK120009926	3056571	reverse	5959	ICR	PT	3056433	3056687	-	
159151	ECK120009927	159171	reverse	283	ICR	RBS	159127	159185	-	
367683	ECK120009928	367743	forward	711	ICR	PP	367645	367834	+	
367732	ECK120009929	367752	reverse	711	ICR	PP	367645	367834	+	
4465243	ECK120009930	4465303	forward	8654	CR	CDS	4464322	4465269	-	
4465278	ECK120009931	4465298	reverse	8655	ICR	PP	4465270	4465453	+	
4465294	ECK120009932	4465314	reverse	8655	ICR	PP	4465270	4465453	+	
4465350	ECK120009933	4465370	reverse	8655	ICR	PP	4465270	4465453	+	
840851	ECK120009934	840871	reverse	1637	ICR	PT	840755	841018	-	
3150016	ECK120009935	3150036	reverse	6137	ICR	PP	3150007	3150257	+	
3149392	ECK120009936	3149412	reverse	6136	CR	CDS	3149272	3150006	-	
1160850	ECK120009937	1160870	reverse	2235	ICR	PP	1160775	1161107	+	
1762422	ECK120009938	1762442	reverse	3453	ICR	PT	1762411	1762736	-	
1542128	ECK120009939	1542148	reverse	3011	ICR	PT	1542085	1542407	-	
1542167	ECK120009940	1542187	reverse	3011	ICR	PT	1542085	1542407	-	
2069281	ECK120009941	2069341	forward	4095	ICR	TP	2069236	2069338	+	
2550203	ECK120009942	2550263	forward	4993	ICR	PP	2550161	2550373	+	
2551167	ECK120009943	2551227	forward	4994	CR	CDS	2550374	2551243	+	
2481450	ECK120009944	2481470	reverse	4859	ICR	PP	2481362	2481776	+	
2716637	ECK120009945	2716697	forward	5299	ICR	PP	2716551	2716756	+	
510737	ECK120009946	510797	forward	981	ICR	PP	510604	510864	+	
136985	ECK120009947	137045	forward	241	ICR	PP	136918	137082	+	
3467898	ECK120009948	3467918	reverse	6803	ICR	PT	3467876	3468166	-	
3489650	ECK120009949	3489670	reverse	6853	ICR	PT	3489643	3489746	-	
2998219	ECK120009950	2998279	forward	5859	ICR	PP	2997914	2998366	+	
770365	ECK120009951	770425	forward	1489	ICR	TP	769835	770680	+	
770376	ECK120009952	770436	forward	1489	ICR	TP	769835	770680	+	
770531	ECK120009953	770591	forward	1489	ICR	TP	769835	770680	+	
3037784	ECK120009954	3037844	forward	5917	ICR	PP	3037766	3037876	+	
1798822	ECK120009955	1798842	reverse	3526	CR	CDS	1798666	1800594	-	
3217420	ECK120009956	3217480	forward	6271	ICR	PP	3217099	3217515	+	
892899	ECK120009957	892959	forward	1737	ICR	TP	892657	893006	+	
4033319	ECK120009958	4164507	forward	7857	ICR	TP	4033177	4033553	+	
786832	ECK120009959	786852	reverse	1537	ICR	PT	786819	787019	-	
3579019	ECK120009960	3579039	reverse	7004	CR	ncRNA	3578950	3579039	-	
2798592	ECK120009961	2798612	reverse	5467	ICR	TP	2798498	2798744	+	
2493540	ECK120009962	2493600	forward	4877	ICR	PP	2493315	2493666	+	
492873	ECK120009963	492933	forward	950	CR	CDS	491316	493247	+	
2751448	ECK120009964	2751508	forward	5366	CR	CDS	2749817	2751478	+	
4388641	ECK120009965	4388661	reverse	8496	CR	CDS	4388480	4389532	-	
3202177	ECK120009966	3202197	reverse	6241	ICR	PT	3202154	3202242	-	
395717	ECK120009967	395777	forward	765	ICR	PP	395512	395862	+	
1921389	ECK120009968	1921409	reverse	3776	CR	CDS	1921389	1921730	-	
1888565	ECK120009969	1888585	reverse	3705	ICR	RBS	1888557	1888595	-	
4110832	ECK120009970	4110892	forward	8001	ICR	TP	4110779	4110989	+	
2455001	ECK120009971	2455021	reverse	4797	ICR	PT	2454835	2455036	-	
2549245	ECK120009972	2549265	reverse	4989	ICR	PT	2549239	2549298	-	
2425851	ECK120009973	2425871	reverse	4739	ICR	PT	2425814	2426078	-	
347810	ECK120009974	347870	forward	681	ICR	PP	347668	347905	+	
1864779	ECK120009975	1864839	forward	3653	ICR	PP	1864497	1864931	+	
3416934	ECK120009976	3416994	forward	6661	ICR	TP	3416634	3417063	+	
1561111	ECK120009977	1561131	reverse	3049	ICR	PT	1561101	1561357	-	
1073229	ECK120009979	1073249	reverse	2060	CR	CDS	1072086	1073234	-	
4285598	ECK120009980	4285618	reverse	8305	ICR	PP	4285395	4285786	+	
4285394	ECK120009981	4285414	reverse	8304	CR	CDS	4283436	4285394	-	
63338	ECK120009982	63358	reverse	117	ICR	PT	63265	63428	-	
17257	ECK120009983	17317	forward	37	ICR	TP	17007	17488	+	
1554050	ECK120009984	1554070	reverse	3033	ICR	RBS	1553988	1554088	-	
621421	ECK120009985	621481	forward	1211	ICR	PP	621413	621522	+	
621416	ECK120009986	621476	forward	1211	ICR	PP	621413	621522	+	
621395	ECK120009987	621415	reverse	1210	CR	CDS	620408	621412	-	
2786889	ECK120009988	2786949	forward	5439	ICR	TP	2786672	2787006	+	
1344847	ECK120009989	1344867	reverse	2626	CR	CDS	1344820	1344924	+	
3036836	ECK120009990	3036856	reverse	5914	CR	CDS	3036134	3036844	-	
1108420	ECK120009991	1108480	forward	2125	ICR	PP	1108165	1108557	+	
200395	ECK120009992	200455	forward	351	ICR	TP	200361	200481	+	
2597016	ECK120009993	2597036	reverse	5084	CR	CDS	2596904	2597782	-	
3791902	ECK120009994	3791962	forward	7393	ICR	PP	3791707	3792009	+	
3791859	ECK120009995	3791919	forward	7393	ICR	PP	3791707	3792009	+	
3791933	ECK120009996	3791993	forward	7393	ICR	PP	3791707	3792009	+	
200900	ECK120009997	200960	forward	352	CR	CDS	200482	200967	+	
865597	ECK120009998	865617	reverse	1683	ICR	PP	865588	865790	+	
1887811	ECK120009999	1887831	reverse	3703	ICR	PT	1887771	1887974	-	
3099800	ECK120010000	3099820	reverse	6045	ICR	PT	3099646	3099828	-	
3099746	ECK120010001	3099766	reverse	6045	ICR	PT	3099646	3099828	-	
3199066	ECK120010002	3199126	forward	6235	ICR	PP	3198988	3199228	+	
3294311	ECK120010003	3294371	forward	6418	CR	CDS	3293831	3294421	+	
3865507	ECK120010004	3865567	forward	7537	ICR	PP	3865446	3865750	+	
4437289	ECK120010005	4437309	reverse	8609	ICR	PP	4437286	4437609	+	
197761	ECK120010006	197821	forward	348	CR	CDS	196546	197898	+	
3245605	ECK120010007	3245665	forward	6315	ICR	TP	3245451	3245794	+	
2733968	ECK120010008	2734028	forward	5326	CR	CDS	2733053	2734033	-	
196410	ECK120010009	196470	forward	346	CR	CDS	195677	196534	+	
3110901	ECK120010010	3110921	reverse	6068	CR	CDS	3110115	3110963	-	
57136	ECK120010011	57156	reverse	109	ICR	PP	57110	57363	+	
57221	ECK120010012	57241	reverse	109	ICR	PP	57110	57363	+	
57316	ECK120010013	57336	reverse	109	ICR	PP	57110	57363	+	
4221655	ECK120010014	4221675	reverse	8197	ICR	PP	4221652	4221850	+	
703003	ECK120010015	703063	forward	1377	ICR	PP	702835	703166	+	
815895	ECK120010017	815915	reverse	1587	ICR	PP	815871	816266	+	
1308527	ECK120010018	1308547	reverse	2549	ICR	PT	1308294	1308592	-	
1357377	ECK120010019	1357397	reverse	2649	ICR	PT	1357212	1357513	-	
2689125	ECK120010020	2689145	reverse	5243	ICR	RBS	2689121	2689178	-	
2830401	ECK120010021	2830461	forward	5541	ICR	PP	2830312	2830497	+	
712105	ECK120010022	712165	forward	1395	ICR	PP	712026	712209	+	
764974	ECK120010025	765034	forward	1484	CR	CDS	764376	765098	-	
4311220	ECK120010026	4311280	forward	8347	ICR	PP	4311015	4311372	+	
182387	ECK120010027	182447	forward	319	ICR	TP	182309	182462	+	
4311140	ECK120010028	4311160	reverse	8347	ICR	PP	4311015	4311372	+	
4311135	ECK120010029	4311155	reverse	8347	ICR	PP	4311015	4311372	+	
3576821	ECK120010030	3576841	reverse	6999	ICR	PT	3576750	3576972	-	
3576865	ECK120010031	3576885	reverse	6999	ICR	PT	3576750	3576972	-	
3576883	ECK120010032	3576903	reverse	6999	ICR	PT	3576750	3576972	-	
791380	ECK120010033	791400	reverse	1545	ICR	PT	791279	791538	-	
4347094	ECK120010034	4347114	reverse	8413	ICR	PT	4346768	4347337	-	
1940598	ECK120010035	1940658	forward	3812	CR	CDS	1939675	1940607	-	
3604385	ECK120010036	3604445	forward	7062	CR	CDS	3603774	3604400	+	
604656	ECK120010037	604676	reverse	1181	ICR	PT	604648	604740	-	
4492560	ECK120010038	4492620	forward	8705	ICR	PP	4492430	4492645	+	
4492438	ECK120010039	4492458	reverse	8705	ICR	PP	4492430	4492645	+	
365562	ECK120010040	365582	reverse	707	ICR	PT	365530	365651	-	
365569	ECK120010041	365589	reverse	707	ICR	PT	365530	365651	-	
365581	ECK120010042	365601	reverse	707	ICR	PT	365530	365651	-	
2922526	ECK120010043	2922546	reverse	5710	CR	ncRNA	2922178	2922546	-	
4460841	ECK120010044	4460861	reverse	8649	ICR	PT	4460684	4461076	-	
3904700	ECK120010045	3904720	reverse	7611	ICR	PT	3904591	3904875	-	
4048999	ECK120010046	4049059	forward	7887	ICR	PP	4048789	4049058	+	
2788874	ECK120010047	2788934	forward	5442	CR	CDS	2788004	2789272	+	
3576752	ECK120010048	3576772	reverse	6999	ICR	PT	3576750	3576972	-	
3656205	ECK120010049	3656265	forward	7151	ICR	TP	3655591	3656388	+	
3654923	ECK120010051	3654983	forward	7149	ICR	PP	3654764	3655017	+	
3544411	ECK120010053	3544471	forward	6955	ICR	TP	3544222	3544580	+	
3544408	ECK120010054	3544468	forward	6955	ICR	TP	3544222	3544580	+	
4549337	ECK120010055	4549357	reverse	8823	ICR	PP	4549320	4549658	+	
3542629	ECK120010056	3542689	forward	6950	CR	CDS	3542096	3542866	-	
3864984	ECK120010057	3865004	reverse	7535	ICR	PT	3864921	3865031	-	
4368579	ECK120010058	4368639	forward	8453	ICR	PP	4368436	4368710	+	
3242859	ECK120010059	3242879	reverse	6311	ICR	PP	3242764	3243125	+	
1608741	ECK120010060	1608761	reverse	3113	ICR	PT	1608705	1608930	-	
4552421	ECK120010061	4552481	forward	8827	ICR	TP	4552385	4552598	+	
4212122	ECK120010062	4212182	forward	8184	CR	CDS	4211703	4212146	-	
4212159	ECK120010063	4212179	reverse	8185	ICR	PP	4212147	4212302	+	
1694156	ECK120010064	1694176	reverse	3315	ICR	PT	1694096	1694485	-	
1695079	ECK120010065	1695099	reverse	3317	ICR	PT	1695077	1695296	-	
3471687	ECK120010066	3471707	reverse	6808	CR	CDS	3471564	3472103	-	
4417890	ECK120010067	4417950	forward	8561	ICR	PP	4417649	4418002	+	
4417678	ECK120010068	4417698	reverse	8561	ICR	PP	4417649	4418002	+	
2434892	ECK120010069	2434912	reverse	4758	CR	CDS	2434737	2435873	-	
52568	ECK120010070	52588	reverse	104	CR	CDS	52427	53416	-	
52014	ECK120010072	52034	reverse	102	CR	CDS	51609	52430	-	
2458513	ECK120010075	2458533	reverse	4801	ICR	PT	2458492	2458671	-	
2217525	ECK120010077	2217545	reverse	4375	ICR	PT	2217504	2217713	-	
421659	ECK120010078	421719	forward	815	ICR	TP	421584	421738	+	
499255	ECK120010079	499275	reverse	963	ICR	PP	499198	499348	+	
3316524	ECK120010080	3316584	forward	6467	ICR	PP	3316312	3316658	+	
3810580	ECK120010081	3810600	reverse	7432	CR	CDS	3809914	3810582	-	
3809178	ECK120010082	3809198	reverse	7427	ICR	PT	3809176	3809272	-	
3100950	ECK120010083	3101010	forward	6049	ICR	PP	3100875	3101034	+	
3100873	ECK120010084	3100933	forward	6048	CR	CDS	3100155	3100874	-	
3101955	ECK120010085	3102015	forward	6050	CR	CDS	3101035	3102087	+	
4250406	ECK120010086	4250466	forward	8239	ICR	TP	4250307	4250528	+	
3656308	ECK120010087	3656368	forward	7151	ICR	TP	3655591	3656388	+	
4260779	ECK120010088	4260839	forward	8261	ICR	TP	4260730	4260862	+	
3662827	ECK120010089	3662887	forward	7159	ICR	PP	3662642	3662886	+	
2374889	ECK120010090	2374909	reverse	4644	CR	CDS	2374856	2375614	-	
2940658	ECK120010091	2940718	forward	5743	ICR	PP	2940590	2940717	+	
832236	ECK120010093	832296	forward	1623	ICR	PP	832174	832292	+	
3276828	ECK120010094	3276888	forward	6383	ICR	PP	3276688	3276935	+	
3276705	ECK120010095	3276725	reverse	6383	ICR	PP	3276688	3276935	+	
3279851	ECK120010096	3279911	forward	6391	ICR	TP	3279648	3279997	+	
2087928	ECK120010097	2087988	forward	4141	ICR	PP	2087738	2088019	+	
629036	ECK120010098	629096	forward	1225	ICR	TP	628937	629116	+	
629027	ECK120010099	629087	forward	1225	ICR	TP	628937	629116	+	
629018	ECK120010100	629078	forward	1225	ICR	TP	628937	629116	+	
4537931	ECK120010101	4537951	reverse	8803	ICR	PP	4537525	4538979	+	
2576550	ECK120010102	2576610	forward	5051	ICR	PP	2576400	2576687	+	
1636816	ECK120010103	1636836	reverse	3160	CR	CDS	1629026	1650862	-	
1636816	ECK120010103	1636836	reverse	3181	ICR	PT	1636692	1637053	-	
1639719	ECK120010104	1639739	reverse	3160	CR	CDS	1629026	1650862	-	
1639719	ECK120010104	1639739	reverse	3193	ICR	PP	1639579	1639878	+	
1050468	ECK120010105	1050528	forward	2013	ICR	PP	1050399	1050683	+	
913048	ECK120010106	913068	reverse	1777	ICR	PT	913038	913180	-	
2145563	ECK120010107	2145583	reverse	4242	CR	CDS	2144716	2145564	-	
70055	ECK120010108	70075	reverse	125	ICR	PP	70049	70386	+	
4152900	ECK120010109	4152920	reverse	8071	ICR	PP	4152871	4153023	+	
3382639	ECK120010110	3382699	forward	6599	ICR	PP	3382291	3382724	+	
29559	ECK120010111	29619	forward	63	ICR	TP	29196	29650	+	
2244944	ECK120010112	2244964	reverse	4423	ICR	PT	2244792	2245084	-	
2244931	ECK120010113	2244951	reverse	4423	ICR	PT	2244792	2245084	-	
3988962	ECK120010114	3989022	forward	7773	ICR	PP	3988790	3989175	+	
4614642	ECK120010115	4614702	forward	8942	CR	CDS	4613538	4615088	-	
4615241	ECK120010116	4615301	forward	8943	ICR	PP	4615089	4615345	+	
939986	ECK120010117	940046	forward	1817	ICR	TP	939944	940181	+	
3408208	ECK120010118	3408268	forward	6645	ICR	TP	3407974	3408301	+	
1397556	ECK120010119	1397576	reverse	2729	ICR	PT	1397551	1397744	-	
4380415	ECK120010120	4380435	reverse	8483	ICR	PP	4380342	4380665	+	
2239712	ECK120010121	2239732	reverse	4415	ICR	PT	2239691	2239831	-	
791284	ECK120010122	791304	reverse	1545	ICR	PT	791279	791538	-	
791289	ECK120010123	791309	reverse	1545	ICR	PT	791279	791538	-	
4056225	ECK120010124	4056245	reverse	7901	ICR	PP	4056058	4056429	+	
2350545	ECK120010125	2350605	forward	4595	ICR	PP	2350397	2350668	+	
3559934	ECK120010126	3559994	forward	6975	ICR	PP	3559847	3560035	+	
3851026	ECK120010127	3851046	reverse	7505	ICR	PT	3851012	3851140	-	
3955870	ECK120010128	3955890	reverse	7709	ICR	PP	3955844	3955992	+	
728052	ECK120010129	728072	reverse	1423	ICR	PP	728045	728356	+	
365547	ECK120010130	365567	reverse	707	ICR	PT	365530	365651	-	
4255050	ECK120010131	4255110	forward	8247	ICR	TP	4255029	4255137	+	
4244467	ECK120010132	4244487	reverse	8231	ICR	PP	4244443	4244806	+	
4244699	ECK120010133	4244759	forward	8231	ICR	PP	4244443	4244806	+	
3550512	ECK120010134	3550532	reverse	6961	ICR	PP	3550496	3551106	+	
4339653	ECK120010135	4339673	reverse	8403	ICR	PP	4339652	4339933	+	
4212196	ECK120010136	4212256	forward	8185	ICR	PP	4212147	4212302	+	
702911	ECK120010137	702931	reverse	1377	ICR	PP	702835	703166	+	
2342717	ECK120010138	2342777	forward	4581	ICR	PP	2342192	2342886	+	
1019394	ECK120010139	1019414	reverse	1945	ICR	PT	1019277	1019632	-	
2310832	ECK120010140	2310852	reverse	4545	ICR	PP	2310772	2311105	+	
4095674	ECK120010141	4095734	forward	7969	ICR	PP	4095472	4095758	+	
3598852	ECK120010142	3598872	reverse	7049	ICR	PT	3598807	3599050	-	
1020150	ECK120010143	1020170	reverse	1947	ICR	PP	1020143	1020360	+	
1321112	ECK120010144	1321132	reverse	2579	ICR	PP	1321107	1321243	+	
1384656	ECK120010145	1384716	forward	2701	ICR	TP	1384597	1384743	+	
3995870	ECK120010146	3995930	forward	7786	CR	CDS	3995206	3995922	+	
638084	ECK120010147	638144	forward	1241	ICR	PP	637797	638167	+	
2980210	ECK120010148	2980230	reverse	5815	ICR	PT	2980205	2980518	-	
1331752	ECK120010149	1331812	forward	2597	ICR	TP	1331670	1331878	+	
2889966	ECK120010150	2889986	reverse	5653	ICR	PP	2889921	2890235	+	
2530339	ECK120010151	2530399	forward	4951	ICR	TP	2530247	2530430	+	
2459167	ECK120010152	2459227	forward	4803	ICR	PP	2458957	2459327	+	
85537	ECK120010153	85597	forward	155	ICR	TP	85313	85629	+	
552345	ECK120010154	552365	reverse	1057	ICR	RBS	552324	552440	-	
3598866	ECK120010155	3598886	reverse	7049	ICR	PT	3598807	3599050	-	
3790580	ECK120010156	3790600	reverse	7391	ICR	PT	3790575	3790848	-	
3886374	ECK120010157	3886434	forward	7577	ICR	TP	3886216	3886457	+	
1987609	ECK120010158	1987669	forward	3913	ICR	PP	1987515	1987704	+	
2685505	ECK120010159	2685525	reverse	5238	CR	CDS	2685491	2686825	-	
3955875	ECK120010160	3955935	forward	7709	ICR	PP	3955844	3955992	+	
4402627	ECK120010161	4402687	forward	8529	ICR	TP	4402607	4402709	+	
2307447	ECK120010162	2307467	reverse	4540	CR	CDS	2307363	2308427	-	
4412210	ECK120010163	4412270	forward	8548	CR	CDS	4411051	4412214	+	
3651899	ECK120010164	3651959	forward	7139	ICR	PP	3651222	3651983	+	
1036873	ECK120010165	1036933	forward	1985	ICR	TP	1036830	1036962	+	
1984242	ECK120010166	1984262	reverse	3901	ICR	PP	1984153	1984948	+	
411733	ECK120010167	411753	reverse	803	ICR	PT	411706	411830	-	
770333	ECK120010168	770393	forward	1489	ICR	TP	769835	770680	+	
450857	ECK120010169	450877	reverse	875	ICR	PT	450835	451293	-	
754121	ECK120010170	754181	forward	1467	ICR	PP	753692	754399	+	
757749	ECK120010171	757809	forward	1475	ICR	TP	757629	757928	+	
1684713	ECK120010172	1684733	reverse	3303	ICR	PT	1684613	1684754	-	
753970	ECK120010173	753990	reverse	1467	ICR	PP	753692	754399	+	
1194171	ECK120010174	1194231	forward	2300	CR	CDS	1193521	1194174	-	
3382315	ECK120010175	3382335	reverse	6599	ICR	PP	3382291	3382724	+	
29491	ECK120010176	29551	forward	63	ICR	TP	29196	29650	+	
3488223	ECK120010177	3488243	reverse	6847	ICR	PT	3488203	3488287	-	
3925092	ECK120010178	3925152	forward	7651	ICR	PP	3925027	3925177	+	
3925034	ECK120010179	3925054	reverse	7651	ICR	PP	3925027	3925177	+	
2321374	ECK120010180	2321434	forward	4557	ICR	TP	2321274	2321468	+	
328565	ECK120010181	328585	reverse	649	ICR	PP	328559	328686	+	
328585	ECK120010182	328645	forward	649	ICR	PP	328559	328686	+	
4359966	ECK120010183	4359986	reverse	8435	ICR	PT	4359958	4360213	-	
3483915	ECK120010184	3483975	forward	6841	ICR	PP	3483841	3484141	+	
4434632	ECK120010185	4434652	reverse	8603	ICR	PP	4434589	4434777	+	
709919	ECK120010186	709939	reverse	1388	CR	CDS	709862	709948	-	
3567392	ECK120010187	3567412	reverse	6986	CR	CDS	3567369	3569342	-	
3107177	ECK120010188	3107197	reverse	6058	CR	CDS	3105042	3107177	-	
3265095	ECK120010189	3265115	reverse	6359	ICR	PP	3265088	3265401	+	
2337501	ECK120010190	2337561	forward	4577	ICR	PP	2337443	2337588	+	
2932081	ECK120010191	2932141	forward	5727	ICR	PP	2931711	2932256	+	
3103613	ECK120010192	3103673	forward	6055	ICR	TP	3103535	3103735	+	
3845201	ECK120010193	3845221	reverse	7493	ICR	PT	3845191	3845327	-	
4339850	ECK120010194	4339910	forward	8403	ICR	PP	4339652	4339933	+	
1697277	ECK120010195	1697337	forward	3321	ICR	PP	1697205	1697378	+	
2823753	ECK120010196	2823813	forward	5525	ICR	PP	2823599	2823853	+	
4014354	ECK120010197	4014414	forward	7821	ICR	PP	4014193	4014453	+	
1976399	ECK120010198	1976419	reverse	3885	ICR	PT	1976222	1976541	-	
3735433	ECK120010199	3735493	forward	7283	ICR	PP	3735201	3735519	+	
3754538	ECK120010200	3754558	reverse	7323	ICR	PT	3754535	3754698	-	
1292161	ECK120010201	1292181	reverse	2523	ICR	PP	1292146	1292749	+	
3530641	ECK120010202	3530701	forward	6931	ICR	PP	3530462	3530839	+	
357937	ECK120010203	357997	forward	695	ICR	PP	357915	358022	+	
357913	ECK120010204	357933	reverse	694	CR	CDS	357015	357914	-	
2541559	ECK120010205	2541579	reverse	4975	ICR	PT	2541551	2541853	-	
2874370	ECK120010206	2874390	reverse	5627	ICR	PP	2874352	2874602	+	
2510971	ECK120010207	2511031	forward	4907	ICR	PP	2510729	2511063	+	
2477083	ECK120010208	2477143	forward	4852	CR	CDS	2475869	2477206	+	
3242964	ECK120010209	3243024	forward	6311	ICR	PP	3242764	3243125	+	
4516285	ECK120010210	4516305	reverse	8755	ICR	PP	4516259	4516549	+	
2848463	ECK120010211	2848483	reverse	5573	ICR	PP	2848458	2848668	+	
